5 9 10 10 25 32 [06/10]
8 10 13 16 17 26 [10/10]
16 17 26 32 38 39 [11/10]
14 23 25 27 29 41 [12/10]
2 27 29 34 35 43 [14/10]
1 4 10 29 31 34 [16/10]
4 13 25 28 30 31 [17/10]
6 10 22 41 43 46 [17/10]
1 2 15 33 46 46 [22/10]
1 2 3 4 5 6 [20/10]
1 7 11 30 36 45 [20/10]
2 8 14 23 31 36 [20/10]
17 21 27 37 41 47 [20/10]
1 4 9 12 44 47 [20/10]
4 9 21 24 34 43 [20/10]
10 15 23 24 38 46 [20/10]
16 20 22 22 32 45 [20/10]
1 2 3 4 5 6 [20/10]
1 2 3 4 5 6 [20/10]
21 25 30 35 39 41 [20/10]
3 21 30 32 42 47 [20/10]
3 19 22 25 30 32 [20/10]
1 2 3 4 5 6 [21/10]
4 8 28 30 34 40 [21/10]
